2 beat	1	A simple weave, with each poi doing one downbeat on opposite sides of the body	Try to keep the poi perpendicular to the floor and parallel to the sides of your body	As you get more comfortable, try to spin slower	It is encouraged to learn both the "left hand over" & "right hand over" variations (refer to video)	Dont be afraid to exaggerate your arm movements as much as possible so you dont hit yourself when the poi crosses to the other side (applies to all other weaves and n beat moves)	Drexfactor	https://youtu.be/hanrZuOio5c					3 beat	Buzzsaw		no video yet	Weaves
Torso Lacing	3	This move is extremely important and central to all Body-Lacing moves. A basic/smooth wrap around the waist.	It is important to NOT let go of the whip handle; the handle should always stay in your dominant hand.	Make sure you are attentive visually; you may think you are doing the right thing when you aren't.	Once you can do lace by gripping with your fingers, slowly transition to lacing with your WRIST; this will create for smoother/flowier laces.	This move is extremely important and central to all Body-Lacing moves.	StuyFlow	https://youtu.be/N4U-1Apvpd8?t=1357	Fiberflies	https://youtu.be/n-wLQW-tkh8						https://www.youtube.com/embed/yoxNcFHJODk	Body-Lacing 
Knee Lacing	5	A lace around a bent-knee while kicking out when the time is right to create a mix between a lace and a lash	Repeat the move to see when the timing is good for you! 	Make sure you tuck/bend your knee to the extreme so the whip can wrap well			Fiberflies	https://youtu.be/o37DvJ6gzvI								https://www.youtube.com/embed/Gi_se3dzFKE	Body-Lacing/Whiplash
3 Beat Weave	7	3 Beat derived from Poi/Glowsticking	Watch 3 Beat Weave videos from PlayPoi or DrexFactorPoi													https://www.youtube.com/embed/AF7FnQdHt6E	Double-Whip/Whiplash
Windmill	6	Essentially a 2 beat weave above the head	Refer to Poi/Glowsticking teachers or videos													https://www.youtube.com/embed/D9e_2gJA5eY	Double-Whip/Whiplash
Fountain (2x)	8	Combines the 3 Beat Weaves and Windmill to make a Fountain	Same concept as Single Whip Fountain but with another Whip doing split-time!				StuyFlow	https://youtu.be/N4U-1Apvpd8?t=1427								https://www.youtube.com/embed/f_meq0PvyRY	Double-Whip/Whiplash
BeyBlade	6	Starting with a closed torso lace, whip outwards and then above and then back into a torso lace	Your first whiplash move! This means you are holding onto the handle with one hand while the fibers are flying around you! Be careful and wear protective clothes, this skillset might hurt!													https://www.youtube.com/embed/gJ7KYS7xY1Y	Whiplash
2 Beat Whiplash	3	A move integrated from the Poi/Glowsticking arts, directing the whip between the two parallels	Learning a 2 Beat Whiplash is easier for most on the whips compared to glowsticking (because of the increased control), you can indirectly learn how to string through whipping!													no video yet	Whiplash
2 Beat Whiplash Reverse	3	A move integrated from the Poi/Glowsticking arts, directing the whip between the two parallels														no video yet	Whiplash
Fountain (1x)	6	Essentially combines the 2 Beat Whiplashes smoothly creating a single handed Fountain!	 Make sure you move your body with the whip so you avoid hitting yourself													https://www.youtube.com/embed/k-xgq7sSHL0 https://www.youtube.com/embed/ddC0jEsP8es	Whiplash
Arm Wrap	4	Whiplash wrapping around an arm and then whiplashes out  	Very similar to wrapping concept in Glowsticking				StuyFlow	https://youtu.be/N4U-1Apvpd8?t=1386								https://www.youtube.com/embed/D77Hp9WdR5g	Whiplash
Butterfly	2	2 whips spinning BOTH inwards OR outwards at the same time 														https://www.youtube.com/embed/-sKKLjzzFBA	Whiplash
Under the Leg Wrap	6	Fiberwield and spin under the knee and back	Make sure you EXAGGERATE this move so you don't get hurt				StuyFlow	https://youtu.be/N4U-1Apvpd8?t=1396								https://www.youtube.com/embed/hr_-yXahg6I	Fiber-Wielding
Suicide Wrap	10	An advanced neck wrap	This is a VERY advanced move! Please make sure someone is with you and that you are wearing the appropriate gear when you practice! You have been warned.	Fiberwield and wrap the whip around the neck a couple of times and then unwrap			StuyFlow	https://youtu.be/N4U-1Apvpd8?t=1404								no video yet	Fiber-Wielding
Arm Wrap	6	Fiberwielding spin around the arm and back														https://www.youtube.com/embed/QmtxUtA8rOs	Fiber-Wielding
3 Beat Weave Reverse	7	3 Beat Reverse derived from Poi/Glowsticking	Watch 3 Beat Weave videos from PlayPoi or DrexFactorPoi													no video yet	Whiplash
2 Beat Weave	5	Same as a 2 Beat Whiplash but shift control from handle to fibers														no video yet	Fiber-Wielding
2 Beat Weave Reverse	5	Same as a 2 Beat Whiplash but shift control from handle to fibers														no video yet	Fiber-Wielding
Fountain	6	Fountain holding fibers and NOT handle														no video yet	Fiber-Wielding
